PAPEL	SEGMENTO	COTAÇÃO	FFO YIELD	DIVIDEND YIELD	P/VP	VALOR DE MERCADO	LIQUIDEZ	QTD DE IMÓVEIS	PREÇO DO M2	ALUGUEL POR M2	CAP RATE	VACÂNCIA MÉDIA
HBTT11	Títulos e Val. Mob.	1.055,00	6,53%	0,00%	1,19	190.126.000	0	0	0,00	0,00	0,00%	0,00%	""
HCHG11	Outros	69,88	10,87%	13,61%	0,74	83.856.000	142.244	0	0,00	0,00	0,00%	0,00%	""
HCRI11	Hospital	250,98	12,99%	12,13%	0,78	50.196.000	25.831	1	9.095,67	1.248,72	13,73%	0,00%	""
HCTR11	Títulos e Val. Mob.	22,76	19,73%	19,31%	0,21	502.636.000	1.461.340	0	0,00	0,00	0,00%	0,00%	""
HDEL11	Logística	98,50	20,93%	30,92%	2,40	82.740.000	26	0	0,00	0,00	4,40%	0,00%	""
HFOF11	Títulos e Val. Mob.	51,73	13,04%	13,92%	0,77	1.192.090.000	2.453.920	0	0,00	0,00	0,00%	0,00%	""
HGAG11	Outros	9,90	9,52%	17,50%	0,42	2.457.690	1.787	0	0,00	0,00	0,00%	0,00%	""
HGBL11	Logística	8,60	1,41%	10,22%	0,88	105.208.000	641.805	1	1.481,76	39,49	2,66%	0,00%	""
HGBS11	Shoppings	174,00	9,34%	11,37%	0,81	2.214.990.000	3.048.920	15	4.107,63	383,83	9,34%	5,24%	""
HGCR11	Títulos e Val. Mob.	87,50	13,15%	7,16%	0,88	1.349.080.000	3.236.040	0	0,00	0,00	0,00%	0,00%	""
HGFF11	Títulos e Val. Mob.	63,42	11,45%	7,23%	0,73	181.609.000	334.206	0	0,00	0,00	0,00%	0,00%	""
HGIC11	Títulos e Val. Mob.	74,00	10,31%	15,05%	0,68	34.240.200	5.272	2	1.740,72	0,00	0,00%	0,00%	""
HGJH11	Lajes Corporativas	191,29	9,55%	0,00%	0,55	335.342.000	0	2	26.273,60	2.781,84	10,59%	3,42%	""
HGLG11	Logística	149,70	6,98%	4,93%	0,95	5.058.000.000	7.460.660	26	3.188,85	232,27	7,28%	6,43%	""
